index,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,danceability_s,energy_s,valence_s,tempo_s,quality_index,hidden_gem,artist_followers,artist_popularity,lastfm_playcount,lastfm_listeners,visibility_score,artist_reach_millions,Hit
78859,7gzdjkagK3pTVW8jYjcYBF,Micha von der Rampe,Partyanimal,Partyanimal,64,139159,False,0.814,0.74,0,-5.738,1,0.145,0.165,0.0,0.111,0.7,138.069,4,party,0.8530641500418108,0.7408568864509493,0.7110754414125201,0.5991725860588557,0.7683321593017601,False,54018.0,41.0,51597.0,9368.0,0.9551639238045873,0.054018,0
91411,1ihSSnA4d0dcxQouy7gtNJ,Juanes,Retro Baladas,Es Por Ti,0,251120,False,0.694,0.761,4,-6.066,1,0.0263,0.176,3.63e-05,0.123,0.866,129.953,4,rock,0.7097121013021144,0.7620320046786927,0.8887105403959338,0.5504404267966831,0.7868182154589136,True,5623226.0,76.0,1420141.0,201263.0,0.2525491145920305,5.623226,0
28136,0ntQOeCxfO9wuGJXFv5D6d,MYRNE;JPB;Yung Fusion,Feels Right (Radio Edit),Feels Right,49,199187,False,0.447,0.948,9,-2.503,0,0.307,0.053,8.68e-05,0.882,0.677,89.928,4,dub,0.4146458009795723,0.9505913908019318,0.6864633493846978,0.31011210318056,0.683900180388734,False,,,17.0,1.0,8.5,0.0,0
104521,6xRglH0lCDxiHEjbDRxT3v,Natos y Waor;Recycled J,Luna llena,Hasta que salga el sol,59,247000,False,0.903,0.476,2,-8.298,1,0.0532,0.00193,0.0343,0.285,0.825,119.974,4,spanish,0.9593835861904192,0.4746554001593175,0.844836811128946,0.49052196729973646,0.7596252658262276,False,,,,,,0.0,0
33740,3DLPg2D9Q6XZ4RlUU9B00r,PXNDX,Bonanza,"Ilusión, Oh ilusión",36,291280,False,0.345,0.622,8,-5.065,1,0.0293,0.0272,0.000155,0.0942,0.429,147.943,4,emo,0.29279655955083017,0.6218728887902957,0.42108079186730873,0.6584605777486896,0.44525008006947814,False,1732792.0,68.0,8343.0,1212.0,0.004814770142769506,1.732792,0
10136,56jlrdCvA7Ih13L9OMcfDS,Propellerheads;Shirley Bassey,Decksandrumsandrockandroll 20th anniversary,History Repeating - Knee Length Mix,52,242533,False,0.717,0.829,10,-5.432,0,0.0367,0.00261,0.0147,0.106,0.729,144.04,4,breakbeat,0.7371879106438894,0.8305990541780524,0.7421080791867309,0.635025188690008,0.7699650146695576,False,1093.0,9.0,3.0,2.0,0.002742230347349177,0.001093,0
52626,3phaRmdQXoC0UqSnM4EBrI,The Dirt Drifters,This Is My Blood,Sun Goes Down,12,231080,False,0.463,0.747,7,-4.651,1,0.033,0.00983,0.000787,0.423,0.201,138.574,4,honky-tonk,0.4337594074781986,0.7479152591935304,0.17710005350454794,0.6022048359883034,0.4529249067254257,False,42119.0,46.0,3156.0,1341.0,0.07492877492877494,0.042119,0
5626,0YFvHkxJVGYLioe26UH7xv,Kato,Attack on Titan Vibes,Youseebiggirl/T:t,45,112299,False,0.242,0.49,9,-11.905,0,0.0641,0.756,0.784,0.0719,0.275,38.281,4,anime,0.16975271771592398,0.4887721456444798,0.25628678437667207,0.0,0.3049372159123586,False,75.0,8.0,51967.0,12400.0,683.7763157894736,7.5e-05,0
75740,3JBxa7RgpzPuY2Tsp8OH9F,Clannad,Banba,Banba Oir - Remastered,22,206746,False,0.458,0.623,10,-13.421,0,0.0295,0.596,0.111,0.115,0.615,160.308,4,new-age,0.42778640544737784,0.6228812277535215,0.6201177100053505,0.7327056676053632,0.5569284477354166,False,210762.0,52.0,1150.0,464.0,0.005456365680883267,0.210762,0
24521,0OJ832WC1epHirYTRBgJ9Z,Octave One;Ann Saunderson,Burn It Down,Jazzo/Lose Myself - Original Mix,5,402796,False,0.845,0.539,9,-5.687,1,0.0447,0.0112,0.0194,0.059,0.587,124.975,4,detroit-techno,0.890096762632899,0.5381807548425478,0.5901551631888711,0.5205502482842268,0.6728108935547726,False,,,,,,0.0,0
